id,title,main_story,main_plus_extras,completionist,all_styles,coop,versus,type,developers,publishers,platforms,genres,release_na,release_eu,release_jp
3334,Fallen Earth,,,,,,,,Reloaded Productions,K2 Network,PC,"Massively Multiplayer, Role-Playing",2009-09-22,,
3335,Fallen Enchantress,20.0,58.5,,23.0,,,,Stardock Corporation,Stardock Corporation,PC,Strategy,2012-10-23,,
3337,Falling Stars,,11.5,,11.5,,,,Ivolgamus,"NA: Agetec, EU: Nordcurrent",PlayStation 2,"Action, Role-playing",2008-08-26,2007-08-24,
3338,Fallout,16.5,22.5,32.0,21.5,,,,Interplay Entertainment,"Interplay Entertainment, Edusoft (AR)",PC,"Top-Down, Turn-Based, Role-Playing",1997-09-30,1997-09-30,
3339,Fallout 2,32.0,47.5,85.0,47.0,,,,Black Isle Studios,Interplay Entertainment,PC,"Top-Down, Turn-Based, Role-Playing",1998-09-30,,
3340,Fallout 3,23.0,56.5,116.0,50.5,,,,Bethesda Game Studios,"Bethesda Softworks, ZeniMax Media","PC, PlayStation 3, Xbox 360, Xbox One","First-Person, Third-Person, Action, Open World, Role-Playing, Shooter",2008-10-28,,
3341,Fallout 3: Broken Steel DLC,3.5,5.0,5.0,4.5,,,DLC/Expansion,Bethesda Game Studios,"Bethesda Softworks, ZeniMax Media","PC, PlayStation 3, Xbox 360","First-Person, Third-Person, Action, Role-Playing, Shooter",2009-05-05,,
3342,Fallout 3: Game of the Year Edition,29.0,67.0,106.0,65.0,,,,Bethesda Game Studios,"Bethesda Softworks, ZeniMax Media","PC, PlayStation 3, Xbox 360, Xbox One","First-Person, Third-Person, Action, Open World, Role-Playing, Shooter",2009-10-13,,
3343,Fallout 3: Mothership Zeta DLC,3.0,4.0,4.0,3.5,,,DLC/Expansion,Bethesda Game Studios,"Bethesda Softworks, ZeniMax Media","PC, PlayStation 3, Xbox 360","First-Person, Third-Person, Action, Role-Playing, Shooter",2009-08-03,,
3345,Fallout 3: Operation Anchorage DLC,2.5,3.0,3.0,3.0,,,DLC/Expansion,Bethesda Game Studios,"Bethesda Softworks, ZeniMax Media","PC, PlayStation 3, Xbox 360","First-Person, Third-Person, Action, Role-Playing, Shooter",2009-01-27,,
3346,Fallout 3: Point Lookout DLC,3.0,5.5,6.0,5.0,,,DLC/Expansion,Bethesda Game Studios,"Bethesda Softworks, ZeniMax Media","PC, PlayStation 3, Xbox 360","First-Person, Third-Person, Action, Open World, Role-Playing, Shooter",2009-06-23,,
3347,Fallout 3: The Pitt DLC,3.0,4.0,4.5,4.0,,,DLC/Expansion,Bethesda Game Studios,"Bethesda Softworks, ZeniMax Media","PC, PlayStation 3, Xbox 360","First-Person, Third-Person, Action, Role-Playing, Shooter",2009-03-25,,
3349,Fallout Tactics: Brotherhood of Steel,32.5,41.5,47.0,41.0,,,,Micro Fort�,14 Degrees East,PC,,2001-03-15,,
